"","Floods","Groundwater","Sediment","Organics_Solutes","Habitat","Overall","HUC12"
"33","0.9736793","0.56366600","0.54307424","0.741505070","0.6852393","0.68556821","101800000000"
"34","0.9843941","0.62432371","0.55863836","0.751351525","0.7027626","0.71067702","101800000000"
"35","0.8147606","0.45319041","0.67614566","0.627903107","0.6981517","0.64244904","101800000000"
"36","0.9543820","0.46614559","0.65436562","0.884982761","0.7499098","0.71978307","101800000000"
"37","0.9854491","0.58394318","0.79672953","0.925136205","0.8508319","0.81559212","101800000000"
"38","0.9959069","0.58730059","0.79675563","0.944883358","0.8574772","0.82300223","101800000000"
"39","0.9834222","0.60487272","0.81548812","0.914490131","0.8567374","0.82408057","101800000000"
"40","0.9717732","0.66068545","0.71994071","0.813656115","0.8035234","0.78715302","101800000000"
"41","0.8549976","0.49562907","0.71683826","0.706138208","0.7616015","0.69603658","101800000000"
"42","0.9326274","0.63871282","0.70393518","0.715659031","0.7947040","0.75074354","101800000000"
"43","0.9900592","0.99791401","0.97214163","0.979955720","0.9814278","0.98425975","101800000000"
"44","0.9442222","0.92035976","0.91005870","0.912259252","0.9109023","0.91947147","101800000000"
"45","0.8570538","0.62834448","0.66755092","0.613023627","0.7112453","0.69029923","101800000000"
"46","0.8055572","0.74300430","0.67786613","0.618332387","0.7344753","0.71299449","101800000000"
"47","0.8140998","0.74028001","0.67265029","0.599275102","0.7755758","0.71618084","101800000000"
"48","0.8279103","0.75000000","0.71685972","0.633325780","0.8044346","0.74322331","101800000000"
"49","0.7723662","0.73941097","0.62987230","0.642549314","0.7260726","0.69979308","101800000000"
"50","0.7644287","0.66463821","0.58467336","0.567662238","0.6430094","0.64125178","101800000000"
"51","0.8148907","0.70210458","0.66047760","0.584188831","0.7462566","0.69720442","101800000000"
"52","0.7930275","0.69909176","0.58362205","0.591362908","0.6729373","0.66367669","101800000000"
"53","0.9727258","0.95353152","0.83512116","0.857744982","0.8821384","0.89865705","101800000000"
"54","0.7802991","0.34971949","0.50144332","0.522353809","0.6209799","0.53635090","101800000000"
"55","0.9884713","0.69504138","0.88977335","0.949366742","0.9062456","0.87940070","101800000000"
"56","0.6462310","0.62880893","0.54953447","0.549165795","0.6957294","0.61123617","101800000000"
"57","0.8072209","0.61736252","0.69078217","0.619119537","0.7549132","0.69391945","101800000000"
"58","0.7830160","0.75000000","0.65188134","0.636476429","0.7645341","0.71455544","101800000000"
"59","0.8562595","0.70927457","0.62252761","0.596856324","0.7483517","0.70066560","101800000000"
"60","0.9546235","0.80834943","0.78384663","0.547014429","0.8558978","0.77699210","101900000000"
"61","0.4349976","0.51949656","0.44711961","0.161877272","0.4865807","0.38033545","101900000000"
"62","0.9782609","0.98438620","0.95001841","0.968866811","0.9275430","0.96159029","101900000000"
"63","0.9441482","0.92239243","0.77714176","0.693816460","0.7549127","0.81267985","101900000000"
"64","0.9804222","0.96311657","0.93595993","0.914295183","0.7906400","0.91428772","101900000000"
"65","0.9845025","0.78627153","0.84395982","0.792428899","0.8629701","0.85116438","101900000000"
"66","0.9722640","0.98095109","0.92287344","0.927237976","0.8113750","0.92086785","101900000000"
"67","0.9570322","0.69008028","0.80835928","0.811889350","0.7917641","0.80742957","101900000000"
"68","0.9336319","0.93022688","0.88309070","0.883826342","0.7968086","0.88409344","101900000000"
"69","0.7748860","0.71846994","0.64439690","0.600717086","0.7226591","0.68941491","101900000000"
"70","0.8205579","0.75760470","0.88742544","0.584030627","0.6075034","0.72166164","101900000000"
"71","0.9463359","0.92025631","0.89645350","0.907074106","0.7808565","0.88825811","101900000000"
"72","0.9672623","0.87335075","0.92815390","0.905909393","0.8023845","0.89364298","101900000000"
"73","0.9345078","0.83283124","0.87258371","0.738204303","0.7483891","0.82195912","101900000000"
"74","0.8735860","0.86723351","0.81796012","0.769560199","0.6802105","0.79838424","101900000000"
"75","0.9513360","0.72609787","0.93352066","0.928653261","0.8342987","0.87041354","101900000000"
"76","0.9369932","0.85175986","0.86881323","0.833058123","0.7594127","0.84806012","101900000000"
"77","0.8610944","0.87126823","0.75223947","0.577526937","0.5803913","0.71675441","101900000000"
"78","0.9077189","0.89627270","0.74003566","0.610866222","0.6751922","0.75683907","101900000000"
"79","0.9817453","0.96948349","0.95176664","0.918383268","0.8462502","0.93222018","101900000000"
"80","0.9554043","0.95600615","0.88654618","0.879261178","0.8309171","0.90033672","101900000000"
"81","0.7588535","0.81676409","0.80551918","0.645337323","0.5370128","0.70407735","101900000000"
"82","0.8429165","0.83970957","0.86380041","0.683484724","0.7357639","0.78987592","101900000000"
"83","0.9887357","0.91353757","0.79883404","0.735317670","0.7893235","0.84023089","101900000000"
"84","0.9116488","0.89014339","0.70890579","0.611500172","0.7446129","0.76496336","101900000000"
"85","0.7930750","0.59337982","0.70389241","0.598406832","0.6169483","0.65687045","101900000000"
"86","0.7944896","0.65602610","0.66186778","0.608590593","0.6920530","0.67990625","101900000000"
"87","0.7014225","0.90461250","0.83409605","0.752806367","0.7264145","0.78037837","101900000000"
"88","0.7797183","0.69755256","0.58783743","0.507146603","0.6593763","0.63945170","101900000000"
"89","0.6971045","0.80175041","0.72579972","0.665301706","0.5520520","0.68333001","101900000000"
"90","0.9207631","0.90397436","0.89416522","0.852681700","0.8053997","0.87438770","101900000000"
"91","0.8733467","0.88705499","0.77700178","0.805382212","0.6846679","0.80206256","101900000000"
"92","0.8278469","0.75383150","0.62901331","0.692345031","0.6419216","0.70524131","101900000000"
"93","0.7896989","0.68328921","0.58708726","0.653339389","0.5527027","0.64815643","101900000000"
"94","0.6666667","0.72713877","0.68995637","0.617090130","0.5741619","0.65274886","101900000000"
"95","0.8089474","0.89364253","0.64987518","0.805733319","0.6504100","0.75554183","101900000000"
"96","0.6744550","0.61329970","0.31773582","0.314723631","0.3340444","0.42470277","101900000000"
"97","0.9524012","0.94786943","0.86543508","0.843656084","0.7301011","0.86391353","101900000000"
"98","0.8680906","0.97404182","0.82284208","0.874496273","0.7152281","0.84670540","101900000000"
"99","0.4000097","0.48798501","0.40238428","0.315918415","0.3929612","0.39610336","101900000000"
"100","0.6407579","0.67347431","0.65641625","0.535101124","0.4376108","0.58122415","101900000000"
"101","0.6070066","0.67828261","0.37095659","0.335951339","0.4697412","0.47469257","101900000000"
"102","0.7914603","0.83108727","0.48695976","0.514059499","0.5101393","0.60933231","101900000000"
"103","0.7122163","0.91552726","0.68997543","0.716237635","0.6755693","0.73717191","101900000000"
"104","0.4212178","0.81198978","0.70961219","0.624680460","0.4952680","0.59582031","101900000000"
"105","0.8740665","0.86256433","0.70456533","0.694419965","0.6122434","0.74260986","101900000000"
"106","0.4090069","0.55346482","0.44889562","0.337806379","0.3959365","0.42330351","101900000000"
"107","0.3429338","0.61049069","0.41571717","0.349076110","0.3490268","0.40280351","101900000000"
"108","0.4796516","0.66715464","0.44438989","0.482059380","0.6065430","0.52939002","101900000000"
"109","0.5000000","0.74731712","0.68966722","0.589800134","0.6131660","0.62212764","101900000000"
"110","0.9406269","0.99190386","0.82865840","0.889503294","0.8830205","0.90505751","101900000000"
"111","0.4186150","0.59385057","0.51201972","0.439430282","0.4949971","0.48803868","101900000000"
"112","0.5522247","0.60154735","0.44489167","0.585465769","0.5891266","0.55140412","101900000000"
"113","0.8050480","0.83454657","0.64536234","0.733873755","0.7159051","0.74389314","101900000000"
"114","0.7189048","0.86904634","0.60215655","0.731892090","0.7213830","0.72378126","101900000000"
"115","0.5204123","0.71117845","0.39881437","0.555280838","0.5426762","0.53657457","101900000000"
"116","0.3333333","0.50000000","0.36788658","0.157182110","0.4107263","0.33075291","101900000000"
"117","0.8799814","0.93714135","0.80104646","0.890954206","0.8356065","0.86767822","101900000000"
"118","0.8333333","1.00000000","0.72870467","0.971606224","0.7747203","0.85506888","101900000000"
"119","0.7242207","0.69156821","0.53623338","0.600304796","0.5946701","0.62566455","101900000000"
"120","0.8224661","0.74874036","0.51076537","0.367742004","0.6249359","0.59130274","101900000000"
"121","0.6449498","0.69638658","0.47955331","0.567919849","0.5369476","0.58007805","101900000000"
"122","0.7973722","0.95070082","0.51165442","0.609532262","0.5323837","0.66066396","101900000000"
"123","0.5020496","0.56939162","0.26450885","0.107768002","0.2281917","0.28436590","101900000000"
"124","0.6403946","0.71924937","0.48011043","0.318357119","0.4734031","0.50648058","101900000000"
"125","0.8413943","0.99031660","0.64877144","0.798585767","0.7471428","0.79747689","101900000000"
"126","0.7484267","0.83698096","0.73459609","0.672077506","0.6911620","0.73448432","101900000000"
"127","0.3830152","0.70938484","0.58679936","0.449065820","0.5538098","0.52438668","101900000000"
"128","0.4864137","0.75000000","0.63249203","0.509989378","0.5847865","0.58551241","101900000000"
"129","0.6305335","0.82186022","0.69410169","0.678028802","0.6267364","0.68683508","101900000000"
"130","0.7582576","0.82793865","0.76738357","0.679549590","0.7133445","0.74760049","101900000000"
"131","0.9147500","0.94230678","0.74618936","0.864445700","0.8099504","0.85252669","101900000000"
"132","0.9009064","0.98738103","0.88962497","0.934492797","0.8677398","0.91509752","101900000000"
"133","0.9748502","0.99624591","0.91647744","0.908819240","0.9284282","0.94434441","101900000000"
"134","0.8568111","0.91247389","0.82942771","0.810146748","0.8313204","0.84731178","101900000000"
"135","0.9244062","0.98502268","0.88016928","0.885621218","0.8772017","0.90958766","101900000000"
"136","0.7101574","0.73442217","0.81308726","0.718223970","0.7445022","0.74321196","101900000000"
"137","0.8061185","0.68977620","0.52915200","0.382610201","0.6640938","0.59529838","101900000000"
"138","0.6475337","0.63796762","0.63233862","0.616470531","0.4480805","0.59109301","101900000000"
"139","0.8026607","0.63679534","0.60344510","0.569999806","0.5273718","0.62148729","101900000000"
"140","0.8333333","0.85429873","0.64453241","0.878600152","0.7006487","0.77659211","101900000000"
"141","0.9398832","0.95358665","0.86232853","0.919216541","0.8902679","0.91244998","101900000000"
"142","0.5000000","0.75000000","0.68149436","0.575325811","0.6163617","0.61865512","101900000000"
"143","0.5654516","0.71162970","0.65581425","0.592246068","0.6512994","0.63320253","101900000000"
"144","0.5000000","0.75000000","0.61380665","0.485075531","0.5644082","0.57529832","101900000000"
"145","0.5000000","0.75000000","0.59445991","0.459279875","0.5567376","0.56386658","101900000000"
"146","0.4685524","0.70282862","0.60918069","0.478907585","0.5514403","0.55567491","101900000000"
"147","0.6666667","0.75000000","0.56896726","0.425289683","0.3890099","0.54267593","101900000000"
"148","0.4700550","0.71821122","0.52358482","0.370979492","0.5041438","0.50565983","101900000000"
"149","0.5569612","0.58362785","0.48135770","0.341325085","0.4378769","0.47183465","101900000000"
"150","0.5000000","0.50000000","0.54883667","0.398448898","0.5325578","0.49297455","101900000000"
"151","0.4426057","0.50000000","0.53150473","0.375339641","0.5210032","0.47027489","101900000000"
"152","0.4515050","0.71044145","0.50237524","0.336741608","0.5013181","0.48632416","101900000000"
"153","0.9416935","0.98960241","0.85225871","0.813937365","0.8437402","0.88582575","101900000000"
"154","0.9296736","0.99187997","0.82891018","0.803216434","0.8341005","0.87472112","101900000000"
"155","0.8552929","0.99089424","0.83971433","0.822564545","0.8676868","0.87329574","101900000000"
"156","0.8852666","0.98798359","0.80752736","0.817663563","0.8021094","0.85734942","101900000000"
"157","0.7742184","0.91225156","0.65481751","0.683030269","0.6439948","0.72725070","101900000000"
"158","0.7743809","0.96373042","0.74466428","0.793236777","0.7873891","0.80926841","101900000000"
"159","0.5197383","0.73916272","0.60225520","0.484123314","0.5764785","0.57810788","101900000000"
"160","0.4278579","0.63621309","0.52857319","0.395728255","0.5157764","0.49382511","101900000000"
"161","0.9404891","0.98531881","0.84420130","0.841265299","0.8547569","0.89131338","101900000000"
"162","0.9146781","0.92775405","0.74868891","0.742324597","0.7651663","0.81558729","101900000000"
"163","0.5000000","0.70080657","0.51380162","0.371143853","0.4843853","0.50352308","101900000000"
"164","0.4722950","0.49096723","0.46786671","0.340132905","0.4358908","0.43780716","101900000000"
"165","0.4038918","0.68767284","0.53944952","0.420828775","0.5091836","0.50270768","101900000000"
"166","0.5000000","0.74511652","0.52402246","0.371874584","0.4193326","0.49739320","101900000000"
"167","0.5352233","0.81241871","0.54019815","0.541117544","0.5732385","0.59224173","101900000000"
"168","0.3917076","0.60837610","0.48797224","0.317296321","0.4835192","0.44697332","101900000000"
"169","0.4752775","0.26024464","0.30255748","0.340305458","0.2625687","0.31977887","101900000000"
"170","0.3139439","0.19704851","0.21106203","0.020389098","0.2116224","0.14130548","101900000000"
"171","0.5092024","0.25725325","0.31864168","0.348517253","0.2299965","0.31981578","101900000000"
"172","0.4725848","0.25000000","0.30426596","0.362186930","0.3388249","0.33799963","101900000000"
"173","0.4456112","0.22905851","0.28271885","0.209623421","0.3401522","0.29018443","101900000000"
"174","0.6426210","0.77824078","0.63384271","0.427813868","0.6101503","0.60750299","101900000000"
"175","0.6256531","0.35755908","0.36770111","0.346856035","0.3631428","0.40094112","101900000000"
"176","0.7422955","0.39899596","0.40305442","0.531994613","0.5071639","0.50302888","101900000000"
"177","0.4155282","0.21600977","0.21600977","0.282118048","0.3001884","0.27737952","101900000000"
"178","0.8724014","0.63800548","0.85069245","0.861538612","0.8665153","0.81221846","101900000000"
"179","0.6001355","0.40708884","0.65139441","0.845984352","0.6359924","0.61167306","101900000000"
"180","0.8853649","0.45582916","0.67317188","0.941105544","0.6939343","0.70762214","101900000000"
"181","0.9406856","0.51820712","0.73380382","0.987584021","0.7497567","0.76666291","101900000000"
"182","0.8809239","0.40858378","0.64053884","0.862985995","0.7238699","0.67871250","101900000000"
"183","0.7492330","0.50000000","0.50815105","0.489317375","0.4941273","0.54025879","101900000000"
"184","0.7689018","0.30300510","0.37327132","0.404006803","0.4610296","0.43842226","101900000000"
"185","0.8987646","0.45453562","0.43459103","0.606047500","0.5712734","0.57243880","101900000000"
"186","0.9064408","0.49308349","0.47488913","0.586517647","0.6020682","0.59560150","101900000000"
"187","0.8709043","0.59055340","0.40386470","0.495687504","0.5414522","0.56136679","101900000000"
"188","0.6258259","0.23947132","0.27467278","0.319295095","0.3426839","0.33940772","101900000000"
"189","0.6484349","0.30599419","0.40090448","0.407992253","0.5088240","0.44011685","101900000000"
"190","0.7852300","0.98931972","0.86721397","0.887279874","0.8585098","0.87509084","101900000000"
"191","0.8711378","0.89741713","0.78936254","0.755834815","0.8275856","0.82664589","101900000000"
"192","0.8888465","0.93129444","0.78087602","0.796903267","0.8014388","0.83782703","101900000000"
"193","0.7793970","0.84556250","0.76145838","0.678641070","0.6719673","0.74457386","101900000000"
"194","0.9692488","0.96564819","0.84798028","0.852985596","0.8725704","0.90007028","101900000000"
"195","0.9221381","0.75993032","0.61920524","0.803862922","0.6856897","0.75117789","101900000000"
"196","0.9444722","0.76805935","0.60619523","0.795152066","0.5830698","0.72756775","101900000000"
"197","0.9353585","0.74160436","0.49802770","0.705538914","0.5431627","0.66737657","101900000000"
"198","0.9662721","0.90454191","0.80304242","0.835733381","0.8401337","0.86803365","101900000000"
"199","0.8142913","0.65001968","0.48172078","0.706492323","0.5775989","0.63598532","101900000000"
"200","0.9026558","0.72667242","0.46916459","0.635563232","0.5571958","0.64190468","101900000000"
"201","0.9065594","0.72786443","0.45625780","0.636470238","0.4339322","0.60809496","101900000000"
"202","0.7909347","0.42607474","0.42247881","0.570149659","0.5510055","0.53717430","101900000000"
"203","0.9676008","0.74234247","0.65475523","0.894530573","0.7178826","0.78705598","101900000000"
"204","0.9465335","0.74485099","0.57303675","0.816077579","0.5717393","0.71624809","101900000000"
"205","0.8949699","0.72618121","0.53874291","0.773060253","0.5573327","0.68503472","101900000000"
"206","0.9105164","0.74289940","0.55465857","0.784751577","0.4848922","0.67752321","101900000000"
"207","0.9142057","0.66126797","0.54609103","0.776163038","0.6030766","0.68833899","101900000000"
"208","0.8904596","0.73705802","0.57617667","0.850960222","0.6400619","0.72905544","101900000000"
"209","0.6890940","0.67650824","0.50190912","0.704290158","0.5021607","0.60751108","101900000000"
"210","0.7221829","0.61243029","0.50023132","0.697139364","0.5263358","0.60518961","101900000000"
"211","0.9091220","0.84361807","0.63602082","0.722724075","0.5935011","0.73135238","101900000000"
"212","0.9593360","0.64965301","0.56959498","0.713499338","0.6482478","0.69673978","101900000000"
"213","0.9539291","0.76348493","0.65542263","0.645141013","0.6724054","0.72983513","101900000000"
"214","0.8989937","0.58171191","0.55772614","0.567363835","0.6562941","0.64145936","101900000000"
"215","0.9816159","0.87262410","0.88203909","0.982338009","0.7388629","0.88678081","101900000000"
"216","0.9855350","0.83859226","0.75269661","0.891342704","0.7197512","0.83217370","101900000000"
"217","0.9613696","0.87234016","0.78311000","0.887779871","0.6614811","0.82650283","101900000000"
"218","0.9803405","0.97074613","0.86418346","0.820291679","0.9049977","0.90602643","101900000000"
"219","0.9257817","0.62735800","0.60192896","0.545417850","0.6882480","0.66620628","101900000000"
"220","0.9995703","0.99790144","0.99746136","1.000000000","0.9952747","0.99804014","101900000000"
"221","0.9403124","0.82573848","0.64092267","0.636300267","0.7057996","0.74105898","101900000000"
"222","0.8155848","0.55756630","0.48888442","0.594830895","0.5586612","0.59388557","101900000000"
"223","0.9186049","0.91401314","0.80658990","0.863644623","0.6393118","0.82140313","101900000000"
"224","0.8584629","0.58508720","0.55796486","0.564227824","0.4882316","0.59913662","101900000000"
"225","0.9934319","0.99482263","0.83802802","0.782548229","0.8863475","0.89505862","101900000000"
"226","0.9340991","0.60738466","0.65983031","0.861167699","0.7043964","0.74342776","101900000000"
"227","0.7963965","0.41479380","0.37457610","0.553058395","0.4742357","0.50379444","101900000000"
"228","0.9198100","0.84418948","0.59426285","0.626064003","0.6005885","0.70446997","101900000000"
"229","0.9441974","0.90171631","0.65363307","0.571289639","0.6969541","0.73978488","101900000000"
"230","0.4239990","0.55739905","0.45822780","0.238238273","0.4881758","0.41690783","101900000000"
"231","0.3114834","0.50000000","0.38974545","0.186327264","0.4222947","0.34341212","101900000000"
"232","0.5940041","0.50000000","0.48555232","0.126061480","0.4665873","0.38521409","101900000000"
"233","0.5000000","0.75000000","0.59454611","0.459394813","0.5630307","0.56518028","101900000000"
"234","0.6666667","0.75000000","0.65158717","0.535449562","0.6010581","0.63696492","101900000000"
"235","0.4922040","0.53813896","0.39484362","0.193124829","0.4259260","0.38630238","101900000000"
"236","0.7302828","0.81601545","0.63939552","0.607214622","0.6133369","0.67670608","101900000000"
"237","0.6666667","0.75000000","0.58543459","0.447246126","0.5569564","0.59232933","101900000000"
"238","0.5000000","0.75000000","0.66425556","0.552340745","0.6095037","0.60912999","101900000000"
"239","0.3899547","0.58493211","0.47855360","0.304738131","0.4837786","0.43784939","101900000000"
"240","0.4653195","0.75000000","0.59723181","0.462975747","0.5648212","0.55883672","101900000000"
"241","0.5636518","0.75000000","0.62951037","0.506013825","0.6340870","0.61133218","101900000000"
"242","0.8407790","0.94749724","0.76825168","0.806389181","0.7378550","0.81706348","101900000000"
"243","0.5000000","0.44657968","0.50647304","0.413191148","0.3806186","0.44669723","101900000000"
"244","0.4913197","0.48640826","0.51375367","0.362303599","0.4943639","0.46606651","101900000000"
"245","0.5946769","0.64201542","0.49178169","0.322375592","0.4915223","0.49510905","101900000000"
"246","0.5000000","0.50000000","0.59558570","0.460780939","0.5594848","0.52099483","101900000000"
"247","0.4394100","0.58983866","0.48823648","0.317766062","0.4894455","0.45583645","101900000000"
"248","0.3823053","0.50934443","0.39580481","0.201563241","0.4289355","0.36706354","101900000000"
"249","0.6077119","0.79741873","0.67337014","0.628388611","0.7210326","0.68228253","101900000000"
"250","0.4609864","0.69147954","0.63150674","0.508675648","0.5775814","0.56804130","101900000000"
"251","0.4677180","0.47238541","0.30064867","0.104351011","0.3317563","0.29670928","101900000000"
"252","1.0000000","1.00000000","0.95867225","0.944896327","0.9724482","0.97495407","101900000000"
"253","0.5704009","0.79281616","0.58332376","0.677565718","0.7139730","0.66248969","101900000000"
"254","0.5822204","0.67832580","0.57906333","0.512078099","0.6606717","0.59939723","101900000000"
"255","0.4009064","0.48302999","0.39620256","0.217563426","0.4173292","0.37033931","101900000000"
"256","0.4480996","0.50000000","0.45324854","0.270998057","0.5759416","0.43652097","101900000000"
"257","0.3333333","0.50000000","0.37944419","0.172592258","0.4179522","0.34027412","101900000000"
"258","0.5000000","0.50000000","0.37808895","0.170785269","0.3993813","0.36464850","101900000000"
"259","0.5000000","0.27882749","0.36954913","0.454295513","0.3574518","0.38415522","101900000000"
"260","0.5040998","0.72437637","0.44123880","0.500409920","0.5911662","0.54404898","101900000000"
"261","0.3369295","0.50539425","0.33785301","0.117137348","0.3808658","0.30330034","101900000000"
"262","0.4919836","0.36946619","0.39309768","0.304735807","0.5714159","0.41589178","101900000000"
"263","0.5000000","0.75000000","0.61387094","0.485161259","0.5733171","0.57713562","101900000000"
"264","1.0000000","1.00000000","0.76980276","0.693070345","0.8465352","0.85302225","101900000000"
"265","0.4800651","0.46303797","0.51325445","0.366048470","0.5020596","0.46164556","101900000000"
"266","0.6785573","0.70073767","0.71572055","0.563307489","0.6242034","0.65402061","101900000000"
"267","0.4190648","0.52544682","0.47868327","0.304911032","0.5365014","0.44393608","101900000000"
"268","0.6121760","0.88835734","0.65816063","0.724295372","0.7154188","0.71392795","101900000000"
"269","0.4777660","0.42997715","0.45243248","0.328847133","0.4528282","0.42484292","101900000000"
"270","0.4875974","0.47680260","0.30420701","0.075146044","0.4074111","0.29315792","101900000000"
"271","0.6154892","0.53009948","0.66549243","0.579228363","0.5041360","0.57600160","101900000000"
"272","0.4700043","0.45156247","0.28394889","0.273341902","0.3163791","0.34945782","101900000000"
"273","0.4771890","0.26966148","0.26966148","0.333333333","0.2932071","0.32068327","101900000000"
"274","0.7386507","0.44267022","0.49328592","0.519992066","0.5044778","0.53124076","101900000000"
"275","0.7468714","0.30405449","0.41599033","0.402075673","0.4756550","0.44810116","101900000000"
"276","0.5000000","0.73470307","0.49482326","0.333333333","0.4938694","0.49568362","101900000000"
"277","0.4379736","0.40361397","0.35874938","0.258879823","0.3803220","0.36231889","101900000000"
"278","0.6406735","0.51090488","0.44827998","0.436389746","0.4926596","0.50094440","101900000000"
"279","0.8631395","0.52434324","0.45715931","0.497121363","0.5153045","0.55572267","101900000000"
"280","0.7995647","0.57825503","0.51835008","0.321976801","0.4877973","0.51895778","101900000000"
"281","0.6482330","0.27075461","0.40668489","0.279797803","0.4106977","0.38263643","101900000000"
"282","0.9539776","0.76937036","0.60291976","0.651746689","0.7144763","0.72912159","101900000000"
"283","0.9579508","0.70763946","0.51524491","0.636115709","0.6213526","0.67299003","101900000000"
"284","0.5000000","0.69144545","0.46716956","0.544820012","0.6447797","0.56334361","101900000000"
"285","0.5000000","0.68969823","0.45493061","0.526171786","0.6366204","0.55477448","101900000000"
"286","0.8333333","0.75000000","0.72079343","0.627724569","0.8138623","0.74542195","101900000000"
"287","0.4877249","0.57528461","0.46152641","0.400761655","0.5635474","0.49341707","101900000000"
"288","0.6666667","0.66553994","0.45455798","0.493463905","0.6171915","0.57236029","101900000000"
"289","0.7763835","0.65453885","0.53654598","0.588912158","0.5243640","0.60962169","101900000000"
"290","1.0000000","0.75000000","0.95099317","0.601324231","0.9673288","0.83865684","101900000000"
"291","0.5000000","0.75000000","0.57927840","0.439037868","0.4292745","0.52775351","101900000000"
"292","0.6666667","0.75000000","0.67385054","0.565134058","0.6159004","0.65138703","101900000000"
"293","0.5000000","0.74683218","0.59927269","0.469920681","0.5383080","0.56308581","101900000000"
"294","0.3234063","0.49072995","0.33018326","0.119271071","0.3714949","0.29728078","101900000000"
"295","0.6666667","0.75000000","0.72922986","0.638973148","0.7134984","0.69846076","101900000000"
"296","0.6299505","0.70112534","0.68413802","0.578850696","0.6398629","0.64532703","101900000000"
"297","0.6579650","0.52075550","0.73100631","0.649855276","0.6453025","0.63718796","101900000000"
"298","0.7385232","0.55645654","0.72952017","0.833389255","0.7240250","0.71037363","101900000000"
"299","0.6595629","0.50715801","0.42955271","0.315544368","0.5850052","0.48386836","101900000000"
"300","0.6264785","0.53228495","0.63857203","0.308185613","0.5825477","0.52057202","101900000000"
"301","0.9036151","1.00000000","0.83493712","0.972685963","0.8408255","0.90795254","101900000000"
"302","0.6556036","0.65433664","0.56514689","0.479271935","0.5954579","0.58614814","101900000000"
"303","0.9802186","0.93991063","0.77900698","0.752832420","0.8307638","0.85197203","101900000000"
"304","0.9166466","0.57541515","0.67686300","0.844240466","0.6982574","0.73220577","101900000000"
"305","0.8780202","0.70103287","0.50907751","0.632023770","0.6188668","0.65716055","101900000000"
"306","0.8458396","0.58497527","0.39740460","0.451633380","0.4886043","0.53392511","101900000000"
"307","0.8333333","1.00000000","0.71911343","0.958817910","0.8127423","0.85873869","101900000000"
"308","0.5059408","0.54844875","0.47986850","0.456753002","0.4442286","0.48565647","101900000000"
"309","0.3333333","0.22537832","0.23340863","0.010707074","0.2926724","0.14060218","101900000000"
